order_id,customer_id,order_date,status,total_amount,created_at,updated_at
dd06f8be-9026-4060-a883-9979d4b34520,1d51a20a-8b45-498f-a9ef-0f24b2011a94,2025-09-20T05:53:29.401361,cancelled,82.18,2025-09-20T05:53:29.401361,2025-09-20T05:53:29.401361
4e45291a-bd77-4c0d-8286-6e6ad948396a,53127422-6ff8-4cd4-9078-179f1de25a77,2025-09-20T03:01:28.515380,delivered,85.75,2025-09-20T03:01:28.515380,2025-09-20T03:01:28.515380
42a60883-2a6a-4a37-84e1-b5d8a7d9e0ff,faf546e4-9493-4beb-ae59-dabf1412592d,2025-09-19T22:07:42.693695,cancelled,301.43,2025-09-19T22:07:42.693695,2025-09-19T22:07:42.693695
2fa78de0-0345-4129-93e5-f9b6a9b8727c,ec350dbd-0cc4-4cd8-aad9-70039b1c6274,2025-09-20T08:48:01.606983,cancelled,37.68,2025-09-20T08:48:01.606983,2025-09-20T08:48:01.606983
a5fdab12-f3aa-4bb3-8609-5f330600bede,cee9ffe4-04cf-476b-9bd2-fb7373710581,2025-09-20T05:34:46.036899,cancelled,19.12,2025-09-20T05:34:46.036899,2025-09-20T05:34:46.036899
f37bd303-35f2-4193-8a15-c1197702666e,4736c2e8-06c2-4801-a1b6-7c4d3f29d2c5,2025-09-19T19:56:25.684865,delivered,15.06,2025-09-19T19:56:25.684865,2025-09-19T19:56:25.684865
4680a3fa-0ad9-4d55-a0e2-8ca3f92cb989,0f5acf22-3eed-4b32-8ca7-bc41aa9681f3,2025-09-20T02:41:05.886273,delivered,248.15,2025-09-20T02:41:05.886273,2025-09-20T02:41:05.886273
abc6b965-6225-4f68-b080-45a6d82debec,54a9effc-32fa-4540-a32f-382c6fa6533d,2025-09-20T06:35:59.093444,shipped,95.25,2025-09-20T06:35:59.093444,2025-09-20T06:35:59.093444
2ce0c37c-6b0a-45a4-b0aa-41dd1a93fa45,ce016bbe-1d6d-470a-a7eb-dc0febc66b0a,2025-09-19T23:44:31.203363,shipped,66.32,2025-09-19T23:44:31.203363,2025-09-19T23:44:31.203363
afd5721c-79f8-4f77-b96c-653ca4db5e07,78f7c342-38fe-4aca-885d-66a2bd2bb999,2025-09-19T15:22:07.695823,pending,153.18,2025-09-19T15:22:07.695823,2025-09-19T15:22:07.695823
6b08fba0-bed5-4a7a-9dd1-62c16510d78b,ebf7027d-a841-41b1-91d8-851e2d862297,2025-09-20T05:42:08.077073,cancelled,208.06,2025-09-20T05:42:08.077073,2025-09-20T05:42:08.077073
fbc67946-682c-459d-b565-b288a8c33cc1,f16750e9-9746-4446-bcc1-6a8ed8013323,2025-09-20T02:23:42.291639,cancelled,178.26,2025-09-20T02:23:42.291639,2025-09-20T02:23:42.291639
b8bcf88e-8353-4f21-b111-344eff038a30,26d64a1f-1a4e-4f6e-8dc9-2691a5c25d02,2025-09-20T00:36:23.581696,delivered,48.68,2025-09-20T00:36:23.581696,2025-09-20T00:36:23.581696
234a30e0-d55e-4ec5-862b-a7c8e9f884d8,5f49ed9e-8b87-4826-a010-eaeed780549c,2025-09-20T05:54:37.323514,cancelled,185.42,2025-09-20T05:54:37.323514,2025-09-20T05:54:37.323514
4d817354-1751-4083-8220-1218cccbb68a,26d64a1f-1a4e-4f6e-8dc9-2691a5c25d02,2025-09-20T07:54:35.899875,cancelled,48.68,2025-09-20T07:54:35.899875,2025-09-20T07:54:35.899875
798ba1c5-b1b7-4517-8e72-ff259dd7e6d6,4a1936c9-69ed-4c7b-ae1b-8811f0d885a7,2025-09-19T15:11:59.148397,shipped,145.12,2025-09-19T15:11:59.148397,2025-09-19T15:11:59.148397
f2ac4168-1f0b-4a3c-b61e-fbdedd99fb3d,d62e00f5-a4a6-46eb-bb39-9a60495787c3,2025-09-20T03:46:35.712774,pending,28.8,2025-09-20T03:46:35.712774,2025-09-20T03:46:35.712774
a8a83ce3-bd0a-41ea-ac46-6b7bd536acf3,26d64a1f-1a4e-4f6e-8dc9-2691a5c25d02,2025-09-20T07:57:10.696974,delivered,30.36,2025-09-20T07:57:10.696974,2025-09-20T07:57:10.696974
488a7919-b93b-40e6-adeb-3555544360aa,ce016bbe-1d6d-470a-a7eb-dc0febc66b0a,2025-09-20T00:31:39.120606,delivered,57.36,2025-09-20T00:31:39.120606,2025-09-20T00:31:39.120606
7d084075-fefa-40b9-83ad-c361c223535e,09abcdd0-d9d4-4691-b5b6-17b1a5bad1e6,2025-09-20T08:52:44.991286,cancelled,16.96,2025-09-20T08:52:44.991286,2025-09-20T08:52:44.991286
fa6ca42d-d163-4ef7-845c-512415c81eb1,55659cc1-6c7b-4632-baa5-34259d1a768d,2025-09-19T22:34:32.180276,cancelled,181.45,2025-09-19T22:34:32.180276,2025-09-19T22:34:32.180276
02043d79-22fb-46b0-ad36-6d0aaf8dc528,03113851-19a4-40f8-964a-8450b031280e,2025-09-19T19:46:59.151033,delivered,63.5,2025-09-19T19:46:59.151033,2025-09-19T19:46:59.151033
dccd8ac9-94dc-478a-a575-3b1f084adf12,7de9498a-1692-4936-93f1-e8166efc246a,2025-09-19T19:12:33.634619,cancelled,88.66,2025-09-19T19:12:33.634619,2025-09-19T19:12:33.634619
4995cd90-3f8e-447e-9bef-0a4fa8f8d9af,17702c4a-781a-47a8-a997-3df4107c7172,2025-09-20T01:26:56.816986,delivered,273.27,2025-09-20T01:26:56.816986,2025-09-20T01:26:56.816986
9d61d4fd-774e-45aa-9646-12431f34ea30,4f7b1317-3ad1-40a2-be7a-5a98fbefc418,2025-09-19T13:13:43.724740,shipped,146.85,2025-09-19T13:13:43.724740,2025-09-19T13:13:43.724740
dc23f645-bc3d-47dc-a56d-db124a7ac1ce,5ee8a32f-500b-43dd-b4fd-5ce62fe9a845,2025-09-20T08:10:32.552859,delivered,178.16,2025-09-20T08:10:32.552859,2025-09-20T08:10:32.552859
c4d15807-f3b4-4f6a-af38-b21011943a17,b6aa377c-6735-49ce-8c53-2fef8aa014e0,2025-09-19T15:05:56.821019,shipped,95.54,2025-09-19T15:05:56.821019,2025-09-19T15:05:56.821019
af074380-48e8-4110-bb3e-a9211be89936,625b732e-32a2-4b54-9ced-7eb4d66f181c,2025-09-20T04:39:35.021666,delivered,141.97,2025-09-20T04:39:35.021666,2025-09-20T04:39:35.021666
35bba013-c55d-4eb0-ada2-a04f674be621,54a9effc-32fa-4540-a32f-382c6fa6533d,2025-09-20T06:49:48.768894,cancelled,119.4,2025-09-20T06:49:48.768894,2025-09-20T06:49:48.768894
9913384a-9631-4f1e-b072-bde7c161c281,3ed85464-c634-4998-a4ce-efacd028ca85,2025-09-19T15:59:24.011775,pending,159.84,2025-09-19T15:59:24.011775,2025-09-19T15:59:24.011775
9bbe505d-9111-485e-a18b-b7d3bd571ffd,b6aa377c-6735-49ce-8c53-2fef8aa014e0,2025-09-19T14:43:07.279347,shipped,246.33,2025-09-19T14:43:07.279347,2025-09-19T14:43:07.279347
ee3cebbe-8674-443f-90ee-5e0bfe64bd99,86f447b4-a7a0-4a84-afad-63ba28861066,2025-09-19T23:18:46.805300,delivered,318.84,2025-09-19T23:18:46.805300,2025-09-19T23:18:46.805300
a9a4b7b1-4da6-4eec-b92a-14eb30e33345,531e99e8-d9b0-4e0b-bcea-814b28d1361c,2025-09-19T12:43:33.180315,delivered,53.01,2025-09-19T12:43:33.180315,2025-09-19T12:43:33.180315
1f419353-7bfb-4bbc-a74e-0907402a4778,5ee8a32f-500b-43dd-b4fd-5ce62fe9a845,2025-09-19T14:04:40.283546,cancelled,47.2,2025-09-19T14:04:40.283546,2025-09-19T14:04:40.283546
5aa1e745-bf46-46db-88e8-7f1d2c77ac98,67d2e925-796a-4a10-a401-e8bc51d9d64d,2025-09-20T01:19:54.717901,shipped,276.35,2025-09-20T01:19:54.717901,2025-09-20T01:19:54.717901
91b36b52-b568-4d18-97d3-56985b67cb86,ae7ebdfa-0029-4ab7-8a04-3f2a914621ff,2025-09-19T14:08:24.682547,delivered,12.57,2025-09-19T14:08:24.682547,2025-09-19T14:08:24.682547
b8015674-5930-4ebb-886d-8ab77d01986b,240c7d59-f08d-4aeb-a1aa-ff50e2990978,2025-09-19T20:00:08.446860,shipped,10.58,2025-09-19T20:00:08.446860,2025-09-19T20:00:08.446860
614851f8-ee38-4970-9e59-79e6188fcb49,382fec63-29b1-4c37-885e-d4d3218217b6,2025-09-20T05:42:23.568911,shipped,17.55,2025-09-20T05:42:23.568911,2025-09-20T05:42:23.568911
81e1ca3c-8c44-4066-b2c2-f499069b0844,ce016bbe-1d6d-470a-a7eb-dc0febc66b0a,2025-09-19T17:43:34.908102,shipped,66.72,2025-09-19T17:43:34.908102,2025-09-19T17:43:34.908102
29e4dac8-fac7-422e-8cee-645564c8e41a,382fec63-29b1-4c37-885e-d4d3218217b6,2025-09-19T14:01:33.291306,pending,351.46,2025-09-19T14:01:33.291306,2025-09-19T14:01:33.291306
6bab14fd-4eaa-444b-afe9-56f0e42a6a8e,d6cb507c-261c-48a8-b125-c4cbf0f5185d,2025-09-19T14:05:21.401361,delivered,67.4,2025-09-19T14:05:21.401361,2025-09-19T14:05:21.401361
675377d7-8b32-4fc5-a5ad-8258240aed62,f5396fec-4a54-4f26-a8dd-98dc0bbfe40e,2025-09-19T14:11:40.599178,shipped,192.36,2025-09-19T14:11:40.599178,2025-09-19T14:11:40.599178
4fa9309d-0a8a-48d9-ad02-d5773d84eb8b,e1e3ae5c-7b9a-474f-8a3c-4f8848479b70,2025-09-20T11:28:00.966636,pending,61.98,2025-09-20T11:28:00.966636,2025-09-20T11:28:00.966636
27acca06-2ece-4d76-933a-da75c32370b5,b7c16cbe-2944-41fe-91a8-07d1a246d96b,2025-09-20T11:29:12.986424,shipped,310.18,2025-09-20T11:29:12.986424,2025-09-20T11:29:12.986424
61c4b583-5ed5-4716-ad5e-44e7738fff29,ebf7027d-a841-41b1-91d8-851e2d862297,2025-09-19T13:30:26.477645,shipped,211.05,2025-09-19T13:30:26.477645,2025-09-19T13:30:26.477645
8f15d9b4-66cd-4500-9790-ce5f87a27c0a,c3b2c643-ca9a-4e61-be3c-e4aaef0922f7,2025-09-19T17:29:53.102291,delivered,390.43,2025-09-19T17:29:53.102291,2025-09-19T17:29:53.102291
067c4f42-0c9d-4a32-ad90-db6ab0224d36,d5213c2e-5854-4b0b-b702-4ccb3c18969f,2025-09-20T08:13:29.426275,cancelled,216.27,2025-09-20T08:13:29.426275,2025-09-20T08:13:29.426275
86a0b8d4-7f12-4469-9e98-42f5ff1f432e,3e516e0f-f497-4f91-ae37-757781127b4b,2025-09-20T03:27:19.072017,shipped,115.89,2025-09-20T03:27:19.072017,2025-09-20T03:27:19.072017
