order_item_id,order_id,product_id,quantity,item_price,created_at,updated_at
1576d9e4-a16e-4dbe-ab74-b581cb4e73a2,21ee5c3d-a4b6-468e-aba0-50a5701f1b6d,88fd59bb-8dd0-49e5-a4bb-0d906a5208cb,2,38.58,2025-09-19T18:20:32.947397,2025-09-19T18:20:32.947397
d43f15a5-794b-4937-9f77-95d3da9c4c85,21ee5c3d-a4b6-468e-aba0-50a5701f1b6d,51ac60a8-fe31-4673-bdbb-87c6d495d187,1,34.82,2025-09-19T18:20:32.947397,2025-09-19T18:20:32.947397
91c6a760-013e-4e4d-b35c-9f393ae3d3a0,21ee5c3d-a4b6-468e-aba0-50a5701f1b6d,5499e1c8-5825-493f-893e-8c40f5c831c0,1,47.86,2025-09-19T18:20:32.947397,2025-09-19T18:20:32.947397
a95adc91-d89b-4dfc-bd1a-22d5da5f2898,21ee5c3d-a4b6-468e-aba0-50a5701f1b6d,a81be987-a261-452e-8eb9-cb2edea7a5c5,1,18.09,2025-09-19T18:20:32.947397,2025-09-19T18:20:32.947397
7e77fb7f-ec29-4c0a-bf24-6bcf2e742f86,569c70d6-d822-40ea-9189-9e7b8bd02c0f,2a45beb0-61c8-439b-84fa-2c23dc14baf9,2,66.42,2025-09-16T16:23:50.727728,2025-09-16T16:23:50.727728
140fa0c2-374f-4b4d-95f6-d30dfdab353d,b283f7fd-d52b-4b59-8ff8-93170f32874d,5f39592d-73b8-4561-90c8-75e038e83813,1,46.37,2025-09-20T22:13:36.378884,2025-09-20T22:13:36.378884
3461afa9-f2b8-4b65-aa70-ad135121ce54,b283f7fd-d52b-4b59-8ff8-93170f32874d,e2d4fec2-2822-4178-986c-d286df593735,1,12.88,2025-09-20T22:13:36.378884,2025-09-20T22:13:36.378884
4e23f04b-7370-4b45-8af7-d511d29651f5,fa306306-e40a-4e63-90b1-48492e8f0f65,a81be987-a261-452e-8eb9-cb2edea7a5c5,2,36.18,2025-09-20T01:46:33.207010,2025-09-20T01:46:33.207010
71e85268-11f5-45bf-910d-670bf7be6df5,fa306306-e40a-4e63-90b1-48492e8f0f65,90a4be3e-d653-4f09-9ae0-b400844f8e6b,2,45.8,2025-09-20T01:46:33.207010,2025-09-20T01:46:33.207010
daa7d2e8-dec1-48be-8069-da38c1f90af7,8ab1323f-0a5f-485b-b158-634ead61ed2e,fc1c2416-d0ff-4318-a19c-383b2401189c,1,42.78,2025-09-17T18:33:58.067149,2025-09-17T18:33:58.067149
47886dfd-44e3-4881-bc43-3d22110b59bc,8ab1323f-0a5f-485b-b158-634ead61ed2e,1909fd38-0ccf-47c1-a516-6dd01f81f0fb,3,25.32,2025-09-17T18:33:58.067149,2025-09-17T18:33:58.067149
d29b0d63-4b73-4210-8cc0-941840d6c7c2,8ab1323f-0a5f-485b-b158-634ead61ed2e,071e179d-bb56-439c-8b12-862c08c2d2da,2,36.62,2025-09-17T18:33:58.067149,2025-09-17T18:33:58.067149
afc8cbb3-d7ad-4105-b64a-f044feeafdd3,8ab1323f-0a5f-485b-b158-634ead61ed2e,cb00bf5e-f0a0-40ae-878e-e61b8d651368,3,34.68,2025-09-17T18:33:58.067149,2025-09-17T18:33:58.067149
49f6fabe-e292-41c6-94b1-e5934fa89f31,ae3c5db9-b890-410a-a9ef-6e28a1a04758,da370fed-8439-4745-bbdc-7ac4e1096d71,1,40.71,2025-09-22T13:38:26.674280,2025-09-22T13:38:26.674280
ad016013-3a05-4990-89a5-cd68843a049d,ae3c5db9-b890-410a-a9ef-6e28a1a04758,14d222f7-2a8d-479e-a2f0-66efd4e159d3,1,33.01,2025-09-22T13:38:26.674280,2025-09-22T13:38:26.674280
b588dbe1-d7ee-487b-a0c3-9500f1ddda50,0d9b61da-cc1c-4b1b-9548-f1170f5e07d2,5d754e31-d43a-4860-ac75-162ad888c319,1,39.42,2025-09-22T00:38:18.136113,2025-09-22T00:38:18.136113
e7662e60-b03e-454d-8450-7ce0755d7da0,0d9b61da-cc1c-4b1b-9548-f1170f5e07d2,27850da0-7e35-4b85-bde5-200a14ad4391,2,73.5,2025-09-22T00:38:18.136113,2025-09-22T00:38:18.136113
5cb04390-786c-4ade-bf2e-c88bd79ec337,eab7710d-1707-4505-b45b-2d4066171a4e,c7c9e259-598d-4ad2-a493-ba4012f07bfb,2,93.04,2025-09-18T23:43:34.634625,2025-09-18T23:43:34.634625
140113fa-3f30-4b0b-a3ca-183c15afe253,04eb3b70-c40f-4a0a-8601-2ac30c9362d6,92579bd4-b0d6-4929-970d-5996a3e14b5c,1,49.64,2025-09-20T20:15:35.676223,2025-09-20T20:15:35.676223
e6ddb994-57b6-4c6c-8468-97971d8809dd,04eb3b70-c40f-4a0a-8601-2ac30c9362d6,89e6b93c-67e6-4b2f-a253-68e237b83d31,2,55.42,2025-09-20T20:15:35.676223,2025-09-20T20:15:35.676223
c1dc6b1e-9b05-4cd1-b560-69a09e39dc9d,04eb3b70-c40f-4a0a-8601-2ac30c9362d6,724df84c-4294-491b-8c2b-781840c906f1,3,121.59,2025-09-20T20:15:35.676223,2025-09-20T20:15:35.676223
35b26cfc-44da-4222-ac5e-94ce743f8016,04eb3b70-c40f-4a0a-8601-2ac30c9362d6,543582b4-cf5d-44c8-9cd6-ca596b372922,2,26.6,2025-09-20T20:15:35.676223,2025-09-20T20:15:35.676223
cf40f62c-52c8-400b-8d67-9c66b12a9e5d,baa0100e-26d8-4b15-a075-20425ecaea36,eff73f9e-772a-47c0-aa3d-21ac07c03b10,3,20.55,2025-09-23T06:35:19.718082,2025-09-23T06:35:19.718082
93df6485-0503-4a83-9e1d-7e6b2f71ecb5,baa0100e-26d8-4b15-a075-20425ecaea36,4189446a-3c5b-474c-94c6-e09ea68f60ec,3,73.11,2025-09-23T06:35:19.718082,2025-09-23T06:35:19.718082
5f527874-92f0-4ba3-a4b6-82a0bf458f9c,baa0100e-26d8-4b15-a075-20425ecaea36,da370fed-8439-4745-bbdc-7ac4e1096d71,3,122.13,2025-09-23T06:35:19.718082,2025-09-23T06:35:19.718082
c37d78d8-4890-4787-85c7-6162f6ddee9a,baa0100e-26d8-4b15-a075-20425ecaea36,a606ed26-52cc-467b-a0c3-db8f9525c474,2,15.14,2025-09-23T06:35:19.718082,2025-09-23T06:35:19.718082
