order_item_id,order_id,product_id,unit_price,quantity,item_price,created_at,updated_at
14ffe570-29ae-47bc-a3b1-b10e5bf2025c,56df19a7-fb97-45c3-824c-4c2b9a9036cb,7279b632-d594-47fb-a7b5-d0cc35814694,22.24,3,66.72,2024-12-01T11:10:11.567889,2024-12-01T11:10:11.567889
09e4a03b-d8ad-4572-96b4-02fd7bdddaa2,56df19a7-fb97-45c3-824c-4c2b9a9036cb,dc33dcd5-141f-4dc4-88a9-59f943fec0da,49.06,2,98.12,2024-12-01T11:10:11.567889,2024-12-01T11:10:11.567889
22d9cb90-518c-435c-b7a9-b03576955ab2,56df19a7-fb97-45c3-824c-4c2b9a9036cb,18ed83ea-2ab2-4393-bb2a-e4a271fa1e9f,39.85,2,79.7,2024-12-01T11:10:11.567889,2024-12-01T11:10:11.567889
389aeef5-ffae-435a-822c-81d5e31b625e,f5f9e5e7-74ec-4d02-bcf9-9d841c5e0b40,c77586d6-9b2a-4786-af02-f8d38f2d53c9,9.36,2,18.72,2025-02-03T14:58:21.381157,2025-02-03T14:58:21.381157
81f2243f-6619-44ad-9146-796f9c202164,69bf39eb-ba3a-4073-8bbd-fa9824c08c97,a31459e5-054a-48f5-8c8e-5fbbc3d1297d,44.66,2,89.32,2025-06-02T19:19:26.929893,2025-06-02T19:19:26.929893
c9b9282b-4404-49a9-b24b-46c01ae78994,69bf39eb-ba3a-4073-8bbd-fa9824c08c97,0e874a42-54ee-4784-a59f-00d896ec948f,27.1,1,27.1,2025-06-02T19:19:26.929893,2025-06-02T19:19:26.929893
c148056b-f187-4532-af1a-a7d132e3dd1a,69bf39eb-ba3a-4073-8bbd-fa9824c08c97,41b25535-3cab-465c-8910-9b7e52b7911b,48.98,2,97.96,2025-06-02T19:19:26.929893,2025-06-02T19:19:26.929893
703c6b2c-11b5-46d8-b014-7fa36161d0b6,4c068f8a-a42f-4544-acae-c8415c3e8d21,e77713e5-01a8-43b4-b8d1-4ded499d8dbb,21.58,1,21.58,2025-02-17T18:11:28.799169,2025-02-17T18:11:28.799169
fb0a7f8e-4989-452e-9b07-f8e118c7dbd9,4c068f8a-a42f-4544-acae-c8415c3e8d21,2c319112-9f46-4dda-8595-3e24c0177733,34.6,1,34.6,2025-02-17T18:11:28.799169,2025-02-17T18:11:28.799169
609fa13e-a342-40af-bec1-ba4fdaf7251b,fa2e9eaa-8f5a-4e33-b8ea-212dd0a6583f,81b1140c-2226-4933-9a25-3cfa63544dd3,48.95,3,146.85,2025-01-13T17:45:00.963776,2025-01-13T17:45:00.963776
f99b62af-e4c6-4d8a-87fc-e28e31b8a4cb,8f56fe69-5b92-4b5f-bb91-4b662d334124,554edc74-76e8-4eac-8d00-9d78450a27de,5.85,3,17.55,2024-11-15T23:11:15.802392,2024-11-15T23:11:15.802392
79fed1fd-cf61-404e-832d-00e9fb6ada22,8f56fe69-5b92-4b5f-bb91-4b662d334124,e77713e5-01a8-43b4-b8d1-4ded499d8dbb,21.58,1,21.58,2024-11-15T23:11:15.802392,2024-11-15T23:11:15.802392
6eba115c-269d-49b9-b826-47d9d503e2ab,8f56fe69-5b92-4b5f-bb91-4b662d334124,a6aad66a-9943-466f-aaaa-cc74c85afdfb,33.61,2,67.22,2024-11-15T23:11:15.802392,2024-11-15T23:11:15.802392
732fd156-255c-48a2-840d-5fd439f5ebf2,8f56fe69-5b92-4b5f-bb91-4b662d334124,c77586d6-9b2a-4786-af02-f8d38f2d53c9,9.36,3,28.08,2024-11-15T23:11:15.802392,2024-11-15T23:11:15.802392
c64ac510-6a9d-4ad2-b09b-e106acee65cb,0177f35e-61bf-4a5f-b30f-04932971a36d,41b25535-3cab-465c-8910-9b7e52b7911b,48.98,2,97.96,2025-08-16T01:36:51.484217,2025-08-16T01:36:51.484217
4c344474-76bf-4545-99aa-cfca26721c84,0177f35e-61bf-4a5f-b30f-04932971a36d,e77713e5-01a8-43b4-b8d1-4ded499d8dbb,21.58,3,64.74,2025-08-16T01:36:51.484217,2025-08-16T01:36:51.484217
cb89dd57-9714-4aff-a59c-dee532228923,0177f35e-61bf-4a5f-b30f-04932971a36d,9548bdb2-074a-4efb-a871-c3b32d71c6ce,31.75,2,63.5,2025-08-16T01:36:51.484217,2025-08-16T01:36:51.484217
5acd2ece-a6db-4770-b4db-6171613abbaf,0177f35e-61bf-4a5f-b30f-04932971a36d,e77713e5-01a8-43b4-b8d1-4ded499d8dbb,21.58,2,43.16,2025-08-16T01:36:51.484217,2025-08-16T01:36:51.484217
fe0e830f-6e4f-43a0-b115-7413de595728,dde24fef-1c04-4625-920e-89b4159cea74,9548bdb2-074a-4efb-a871-c3b32d71c6ce,31.75,1,31.75,2024-10-14T22:19:47.310357,2024-10-14T22:19:47.310357
b26043a0-3130-4011-99ce-a8746915f26d,dde24fef-1c04-4625-920e-89b4159cea74,ad0d6130-cecb-417f-b377-cdd71233a0d3,15.18,3,45.54,2024-10-14T22:19:47.310357,2024-10-14T22:19:47.310357
d8cad9fc-91bf-4b27-b8d0-af20851fb82f,2eb2cb32-ad6b-4685-a6b0-2a76ff7aeb61,a31459e5-054a-48f5-8c8e-5fbbc3d1297d,44.66,3,133.98,2024-10-02T00:03:01.886556,2024-10-02T00:03:01.886556
b8966140-7333-4586-9383-8737516ff927,2eb2cb32-ad6b-4685-a6b0-2a76ff7aeb61,41b25535-3cab-465c-8910-9b7e52b7911b,48.98,3,146.94,2024-10-02T00:03:01.886556,2024-10-02T00:03:01.886556
f4025e1a-4914-46e0-a426-acf578c16968,2eb2cb32-ad6b-4685-a6b0-2a76ff7aeb61,554edc74-76e8-4eac-8d00-9d78450a27de,5.85,1,5.85,2024-10-02T00:03:01.886556,2024-10-02T00:03:01.886556
27ac3513-86a3-42e6-b0de-d1b042ffa5e4,2eb2cb32-ad6b-4685-a6b0-2a76ff7aeb61,7279b632-d594-47fb-a7b5-d0cc35814694,22.24,2,44.48,2024-10-02T00:03:01.886556,2024-10-02T00:03:01.886556
936357c6-283e-4bdd-9cee-f91702321d5e,1529eb59-a553-42fc-9c7c-094b983c6144,0e874a42-54ee-4784-a59f-00d896ec948f,27.1,3,81.3,2024-12-05T02:02:33.836972,2024-12-05T02:02:33.836972
