product_id,product_name,price,category,created_at,updated_at
d13aaef2-5cd8-4e2e-aae1-7f85baab34b8,Tylenol Extra Strength Caplets,15.59,Health & Wellness,2025-09-21T11:40:12.920760,2025-09-21T11:40:12.920760
f326941b-319c-419c-a4a3-1b814f7e06db,Pepsi,23.48,Beverages,2025-09-21T01:51:12.804136,2025-09-21T01:51:12.804136
cf01a4c0-a3b1-4fc4-b1bb-cb6d4ae12f86,Red Bull Energy Drink,38.34,Beverages,2025-09-21T07:23:38.417111,2025-09-21T07:23:38.417111
1bb5a6da-2941-4636-b66a-6dbd7714143e,Kit Kat Chocolate Bar,13.51,Packaged Foods & Snacks,2025-09-20T16:46:53.658168,2025-09-20T16:46:53.658168
729d9d13-044c-4631-a926-bc04c4d8fd8a,Oreo Cookies,27.0,Packaged Foods & Snacks,2025-09-20T13:00:14.754315,2025-09-20T13:00:14.754315
c7c0e83f-46d1-440c-9ddb-8e3512445109,Coca-Cola Classic,21.14,Beverages,2025-09-21T00:55:56.903680,2025-09-21T00:55:56.903680
d08813b0-96bb-491a-a1d6-1494d9a50e08,Lipton Iced Tea,42.86,Beverages,2025-09-20T21:20:32.993492,2025-09-20T21:20:32.993492
9e039577-2eaa-4a99-96e2-8a99d416ba41,Crest 3D White Toothpaste,44.52,Personal Care & Beauty,2025-09-21T02:39:32.482926,2025-09-21T02:39:32.482926
c8d95ddd-38a8-435a-80c7-ed6ee3aa3f68,Nescafe Classic Coffee,36.49,Beverages,2025-09-21T00:13:30.065323,2025-09-21T00:13:30.065323
5bb9a5d3-ce00-441a-b747-c23778be1237,Dove Beauty Bar,35.88,Personal Care & Beauty,2025-09-21T08:25:52.992120,2025-09-21T08:25:52.992120
0b036f89-0d4b-4a73-adcf-28a1b038f1c9,Advil Pain Reliever Tablets,13.4,Health & Wellness,2025-09-21T04:03:24.432918,2025-09-21T04:03:24.432918
d905e8dc-8322-4df8-9f7b-73cb7d0141d6,Lay's Classic Potato Chips,27.33,Packaged Foods & Snacks,2025-09-21T03:26:47.489222,2025-09-21T03:26:47.489222
14da0714-0999-408f-bce5-0ca1365a6c8d,Starbucks Frappuccino,39.29,Beverages,2025-09-21T07:06:31.883017,2025-09-21T07:06:31.883017
735221cc-c55c-4152-bf06-275bb84b84fa,Tide Laundry Detergent Pods,27.62,Household & Cleaning,2025-09-20T21:36:02.238203,2025-09-20T21:36:02.238203
20820f52-d241-4e04-a232-0ca834d17eb4,Doritos Nacho Cheese,19.56,Packaged Foods & Snacks,2025-09-21T02:28:52.771955,2025-09-21T02:28:52.771955
59c630f1-cf85-4b8c-b9c0-ee33d75f243a,Clorox Bleach,23.63,Household & Cleaning,2025-09-20T13:56:12.481039,2025-09-20T13:56:12.481039
